,date_time,price,volume,epoch
1157,2020-09-11 13:34:53.306506496,182.89,300,1599831293306506496
1158,2020-09-11 13:34:53.306602240,182.89,100,1599831293306602240
1159,2020-09-11 13:34:53.306606592,182.89,100,1599831293306606592
1160,2020-09-11 13:34:53.307849984,182.89,500,1599831293307849984
1161,2020-09-11 13:34:53.310997248,182.8899,200,1599831293310997248
1162,2020-09-11 13:34:53.471881472,182.89,400,1599831293471881472
1163,2020-09-11 13:34:53.471915008,182.89,900,1599831293471915008
1164,2020-09-11 13:34:54.476751616,182.84,1,1599831294476751616
1165,2020-09-11 13:34:54.476919296,182.87,100,1599831294476919296
1166,2020-09-11 13:34:54.477007616,182.85,100,1599831294477007616
1167,2020-09-11 13:34:54.477007616,182.85,100,1599831294477007616
1168,2020-09-11 13:34:54.477013248,182.84,100,1599831294477013248
1169,2020-09-11 13:34:54.477077248,182.85,100,1599831294477077248
1170,2020-09-11 13:34:54.477082368,182.84,1,1599831294477082368
1171,2020-09-11 13:34:54.477108480,182.84,500,1599831294477108480
1172,2020-09-11 13:34:54.477112576,182.84,99,1599831294477112576
1173,2020-09-11 13:34:54.477408256,182.85,82,1599831294477408256
1174,2020-09-11 13:34:54.477458176,182.85,18,1599831294477458176
1175,2020-09-11 13:34:54.480901376,182.84,2,1599831294480901376
1176,2020-09-11 13:34:54.505956096,182.83,18,1599831294505956096
1177,2020-09-11 13:34:54.757885440,182.81,1,1599831294757885440
1178,2020-09-11 13:34:54.964281600,182.8389,6,1599831294964281600
1179,2020-09-11 13:34:55.184775936,182.83,100,1599831295184775936
1180,2020-09-11 13:34:55.737646848,182.81,22,1599831295737646848
1181,2020-09-11 13:34:55.737646848,182.81,100,1599831295737646848
1182,2020-09-11 13:34:55.845824000,182.806,40,1599831295845824000
1183,2020-09-11 13:34:57.545560832,182.817,3,1599831297545560832
1184,2020-09-11 13:34:58.323250944,182.83,10,1599831298323250944
1185,2020-09-11 13:34:59.635057664,182.805,5,1599831299635057664
1186,2020-09-11 13:35:01.336715776,182.837,481,1599831301336715776
1187,2020-09-11 13:35:01.760429312,182.84,100,1599831301760429312
1188,2020-09-11 13:35:01.760435968,182.84,300,1599831301760435968
1189,2020-09-11 13:35:01.760435968,182.84,400,1599831301760435968
1190,2020-09-11 13:35:01.760440320,182.84,100,1599831301760440320
1191,2020-09-11 13:35:01.771982848,182.84,100,1599831301771982848
1192,2020-09-11 13:35:01.771982848,182.84,2100,1599831301771982848
1193,2020-09-11 13:35:01.771987968,182.84,300,1599831301771987968
1194,2020-09-11 13:35:02.129724160,182.84,1,1599831302129724160
1195,2020-09-11 13:35:02.600158720,182.83,12,1599831302600158720
1196,2020-09-11 13:35:03.633236992,182.82,1,1599831303633236992
1197,2020-09-11 13:35:04.098432256,182.8288,100,1599831304098432256
1198,2020-09-11 13:35:04.731557632,182.82,37,1599831304731557632
1199,2020-09-11 13:35:04.731557632,182.82,38,1599831304731557632
1200,2020-09-11 13:35:04.731657472,182.82,25,1599831304731657472
1201,2020-09-11 13:35:04.731662592,182.82,32,1599831304731662592
1202,2020-09-11 13:35:04.731692544,182.82,56,1599831304731692544
1203,2020-09-11 13:35:05.057589760,182.8451,3000,1599831305057589760
1204,2020-09-11 13:35:05.096803072,182.86,221,1599831305096803072
1205,2020-09-11 13:35:05.193010688,182.86,1,1599831305193010688
1206,2020-09-11 13:35:05.193683968,182.87,33,1599831305193683968
1207,2020-09-11 13:35:05.207665664,182.87,9,1599831305207665664
